===================Training Loss(Thu Jul 11 17:12:44 2019)=================
(epoch: 50, iters: 200, time: 0.125, data:2.419) loss_G: 0.905 loss_D: 0.682 
(epoch: 50, iters: 400, time: 0.125, data:19.150) loss_G: 1.507 loss_D: 0.672 
(epoch: 50, iters: 600, time: 0.125, data:35.921) loss_G: 1.138 loss_D: 0.657 
(epoch: 51, iters: 200, time: 0.125, data:2.459) loss_G: 1.180 loss_D: 0.680 
(epoch: 51, iters: 400, time: 0.135, data:19.090) loss_G: 1.248 loss_D: 0.681 
(epoch: 51, iters: 600, time: 0.130, data:36.391) loss_G: 1.512 loss_D: 0.691 
(epoch: 52, iters: 200, time: 0.125, data:2.459) loss_G: 1.927 loss_D: 0.668 
(epoch: 52, iters: 400, time: 0.125, data:19.679) loss_G: 1.325 loss_D: 0.671 
(epoch: 52, iters: 600, time: 0.125, data:36.490) loss_G: 1.026 loss_D: 0.675 
(epoch: 53, iters: 200, time: 0.120, data:2.439) loss_G: 1.385 loss_D: 0.664 
(epoch: 53, iters: 400, time: 0.125, data:19.300) loss_G: 1.319 loss_D: 0.688 
(epoch: 53, iters: 600, time: 0.125, data:36.007) loss_G: 1.274 loss_D: 0.666 
(epoch: 54, iters: 200, time: 0.120, data:2.649) loss_G: 1.584 loss_D: 0.668 
(epoch: 54, iters: 400, time: 0.120, data:19.759) loss_G: 1.785 loss_D: 0.665 
(epoch: 54, iters: 600, time: 0.130, data:36.650) loss_G: 1.191 loss_D: 0.680 
(epoch: 55, iters: 200, time: 0.130, data:2.459) loss_G: 1.191 loss_D: 0.672 
(epoch: 55, iters: 400, time: 0.135, data:19.309) loss_G: 1.448 loss_D: 0.696 
(epoch: 55, iters: 600, time: 0.120, data:36.439) loss_G: 1.342 loss_D: 0.676 
(epoch: 56, iters: 200, time: 0.120, data:2.439) loss_G: 1.302 loss_D: 0.672 
(epoch: 56, iters: 400, time: 0.125, data:19.140) loss_G: 1.022 loss_D: 0.676 
(epoch: 56, iters: 600, time: 0.125, data:35.901) loss_G: 1.680 loss_D: 0.664 
(epoch: 57, iters: 200, time: 0.125, data:2.449) loss_G: 1.372 loss_D: 0.670 
(epoch: 57, iters: 400, time: 0.125, data:19.180) loss_G: 1.464 loss_D: 0.672 
(epoch: 57, iters: 600, time: 0.125, data:35.881) loss_G: 1.119 loss_D: 0.679 
(epoch: 58, iters: 200, time: 0.125, data:2.449) loss_G: 1.496 loss_D: 0.650 
(epoch: 58, iters: 400, time: 0.120, data:19.190) loss_G: 1.339 loss_D: 0.679 
(epoch: 58, iters: 600, time: 0.125, data:35.921) loss_G: 1.128 loss_D: 0.687 
